Date,Product,Demand,Temperature,Promotion,Region
2025-04-25,Milk,120,31,0,Bangalore
2025-04-26,Milk,139,29,1,Bangalore
2025-04-27,Milk,127,29,0,Bangalore
2025-04-28,Milk,125,28,1,Bangalore
2025-04-29,Milk,127,29,1,Bangalore
2025-04-30,Milk,131,27,1,Bangalore
2025-05-01,Milk,123,28,0,Bangalore
2025-05-02,Milk,118,24,0,Bangalore
2025-05-03,Milk,132,24,0,Bangalore
2025-05-04,Milk,140,25,1,Bangalore
2025-05-05,Milk,123,31,0,Bangalore
2025-05-06,Milk,123,29,0,Bangalore
2025-05-07,Milk,118,26,0,Bangalore
2025-05-08,Milk,125,24,1,Bangalore
2025-05-09,Milk,131,26,1,Bangalore
2025-05-10,Milk,128,28,0,Bangalore
2025-05-11,Milk,131,26,0,Bangalore
2025-05-12,Milk,117,27,0,Bangalore
2025-05-13,Milk,125,27,1,Bangalore
2025-05-14,Milk,130,31,1,Bangalore
2025-05-15,Milk,131,27,1,Bangalore
2025-05-16,Milk,123,27,0,Bangalore
2025-05-17,Milk,127,30,0,Bangalore
2025-05-18,Milk,131,25,0,Bangalore
2025-05-19,Milk,122,29,0,Bangalore
2025-05-20,Milk,122,24,0,Bangalore
2025-05-21,Milk,120,30,0,Bangalore
2025-05-22,Milk,121,28,0,Bangalore
2025-05-23,Milk,121,27,0,Bangalore
2025-05-24,Milk,131,30,0,Bangalore
2025-05-25,Milk,133,31,0,Bangalore
2025-05-26,Milk,120,26,0,Bangalore
2025-05-27,Milk,128,31,1,Bangalore
2025-05-28,Milk,117,25,0,Bangalore
2025-05-29,Milk,120,31,0,Bangalore
2025-05-30,Milk,121,25,0,Bangalore
2025-05-31,Milk,141,25,1,Bangalore
2025-06-01,Milk,116,30,0,Bangalore
2025-06-02,Milk,102,24,0,Bangalore
2025-06-03,Milk,107,30,0,Bangalore
2025-06-04,Milk,114,29,1,Bangalore
2025-06-05,Milk,106,28,0,Bangalore
2025-06-06,Milk,106,30,0,Bangalore
2025-06-07,Milk,122,29,1,Bangalore
2025-06-08,Milk,114,27,0,Bangalore
2025-06-09,Milk,106,28,0,Bangalore
2025-06-10,Milk,108,29,0,Bangalore
2025-06-11,Milk,107,24,0,Bangalore
2025-06-12,Milk,103,27,0,Bangalore
2025-06-13,Milk,108,25,0,Bangalore
2025-06-14,Milk,117,27,0,Bangalore
2025-06-15,Milk,113,28,0,Bangalore
2025-06-16,Milk,103,29,0,Bangalore
2025-06-17,Milk,103,27,0,Bangalore
2025-06-18,Milk,102,26,0,Bangalore
2025-06-19,Milk,105,31,0,Bangalore
2025-06-20,Milk,108,31,0,Bangalore
2025-06-21,Milk,114,25,0,Bangalore
2025-06-22,Milk,113,27,0,Bangalore
2025-06-23,Milk,102,26,0,Bangalore
2025-06-24,Milk,106,28,0,Bangalore
2025-06-25,Milk,102,27,0,Bangalore
2025-06-26,Milk,113,31,1,Bangalore
2025-06-27,Milk,108,28,0,Bangalore
2025-06-28,Milk,114,29,0,Bangalore
2025-06-29,Milk,112,25,0,Bangalore
2025-06-30,Milk,103,25,0,Bangalore
2025-07-01,Milk,103,25,0,Bangalore
2025-07-02,Milk,105,26,0,Bangalore
2025-07-03,Milk,106,25,0,Bangalore
2025-07-04,Milk,113,26,1,Bangalore
2025-07-05,Milk,120,24,1,Bangalore
2025-07-06,Milk,112,27,0,Bangalore
2025-07-07,Milk,110,31,1,Bangalore
2025-07-08,Milk,103,26,0,Bangalore
2025-07-09,Milk,116,24,1,Bangalore
2025-07-10,Milk,105,29,0,Bangalore
2025-07-11,Milk,108,24,0,Bangalore
2025-07-12,Milk,117,24,0,Bangalore
2025-07-13,Milk,115,24,0,Bangalore
2025-07-14,Milk,106,31,0,Bangalore
2025-07-15,Milk,105,26,0,Bangalore
2025-07-16,Milk,112,27,1,Bangalore
2025-07-17,Milk,105,27,0,Bangalore
2025-07-18,Milk,105,29,0,Bangalore
2025-07-19,Milk,116,26,0,Bangalore
2025-07-20,Milk,112,28,0,Bangalore
2025-07-21,Milk,105,27,0,Bangalore
2025-07-22,Milk,110,28,1,Bangalore
2025-07-23,Milk,103,30,0,Bangalore
2025-07-24,Milk,108,25,0,Bangalore
2025-07-25,Milk,108,25,0,Bangalore
2025-07-26,Milk,113,28,0,Bangalore
2025-07-27,Milk,113,30,0,Bangalore
2025-07-28,Milk,106,25,0,Bangalore
2025-07-29,Milk,106,29,0,Bangalore
2025-07-30,Milk,103,31,0,Bangalore
2025-07-31,Milk,114,26,1,Bangalore
2025-08-01,Milk,104,28,0,Bangalore
2025-08-02,Milk,112,31,0,Bangalore
2025-08-03,Milk,126,29,1,Bangalore
2025-08-04,Milk,113,30,1,Bangalore
2025-08-05,Milk,108,27,0,Bangalore
2025-08-06,Milk,115,26,1,Bangalore
2025-08-07,Milk,103,30,0,Bangalore
2025-08-08,Milk,104,26,0,Bangalore
2025-08-09,Milk,115,28,0,Bangalore
2025-08-10,Milk,115,29,0,Bangalore
2025-08-11,Milk,102,31,0,Bangalore
2025-08-12,Milk,114,30,1,Bangalore
2025-08-13,Milk,116,27,1,Bangalore
2025-08-14,Milk,102,27,0,Bangalore
2025-08-15,Milk,103,29,0,Bangalore
2025-08-16,Milk,124,27,1,Bangalore
2025-08-17,Milk,117,28,0,Bangalore
2025-08-18,Milk,114,28,1,Bangalore
2025-08-19,Milk,105,27,0,Bangalore
2025-08-20,Milk,102,24,0,Bangalore
2025-08-21,Milk,108,24,0,Bangalore
2025-08-22,Milk,107,24,0,Bangalore
2025-08-23,Milk,120,26,1,Bangalore
2025-08-24,Milk,117,26,0,Bangalore
2025-08-25,Milk,106,27,0,Bangalore
2025-08-26,Milk,105,31,0,Bangalore
2025-08-27,Milk,105,25,0,Bangalore
2025-08-28,Milk,106,25,0,Bangalore
2025-08-29,Milk,104,24,0,Bangalore
2025-08-30,Milk,112,29,0,Bangalore
2025-08-31,Milk,116,24,0,Bangalore
2025-09-01,Milk,106,27,0,Bangalore
2025-09-02,Milk,107,29,0,Bangalore
2025-09-03,Milk,106,25,0,Bangalore
2025-09-04,Milk,111,30,1,Bangalore
2025-09-05,Milk,112,31,1,Bangalore
2025-09-06,Milk,112,28,0,Bangalore
2025-09-07,Milk,126,29,1,Bangalore
2025-09-08,Milk,103,24,0,Bangalore
2025-09-09,Milk,104,30,0,Bangalore
2025-09-10,Milk,102,26,0,Bangalore
2025-09-11,Milk,108,25,0,Bangalore
2025-09-12,Milk,108,24,0,Bangalore
2025-09-13,Milk,116,29,0,Bangalore
2025-09-14,Milk,122,30,1,Bangalore
2025-09-15,Milk,106,28,0,Bangalore
2025-09-16,Milk,112,28,1,Bangalore
2025-09-17,Milk,102,24,0,Bangalore
2025-09-18,Milk,106,29,0,Bangalore
2025-09-19,Milk,102,28,0,Bangalore
2025-09-20,Milk,121,24,1,Bangalore
2025-09-21,Milk,118,27,0,Bangalore
2025-09-22,Milk,107,25,0,Bangalore
2025-09-23,Milk,111,29,1,Bangalore
2025-09-24,Milk,113,27,1,Bangalore
2025-09-25,Milk,104,28,0,Bangalore
2025-09-26,Milk,108,24,0,Bangalore
2025-09-27,Milk,116,30,0,Bangalore
2025-09-28,Milk,114,28,0,Bangalore
2025-09-29,Milk,113,26,1,Bangalore
2025-09-30,Milk,103,25,0,Bangalore
2025-10-01,Milk,104,25,0,Bangalore
2025-10-02,Milk,113,26,1,Bangalore
2025-10-03,Milk,108,24,0,Bangalore
2025-10-04,Milk,113,27,0,Bangalore
2025-10-05,Milk,116,26,0,Bangalore
2025-10-06,Milk,102,27,0,Bangalore
2025-10-07,Milk,113,25,1,Bangalore
2025-10-08,Milk,107,31,0,Bangalore
2025-10-09,Milk,107,28,0,Bangalore
2025-10-10,Milk,104,26,0,Bangalore
2025-10-11,Milk,118,26,0,Bangalore
2025-10-12,Milk,114,30,0,Bangalore
2025-10-13,Milk,105,29,0,Bangalore
2025-10-14,Milk,102,31,0,Bangalore
2025-10-15,Milk,112,26,1,Bangalore
2025-10-16,Milk,114,28,1,Bangalore
2025-10-17,Milk,106,25,0,Bangalore
2025-10-18,Milk,113,28,0,Bangalore
2025-10-19,Milk,117,28,0,Bangalore
2025-10-20,Milk,105,24,0,Bangalore
2025-10-21,Milk,110,25,1,Bangalore
2025-10-22,Milk,104,29,0,Bangalore
2025-10-23,Milk,108,24,0,Bangalore
2025-10-24,Milk,107,24,0,Bangalore
2025-10-25,Milk,124,26,1,Bangalore
2025-10-26,Milk,112,24,0,Bangalore
2025-10-27,Milk,114,31,1,Bangalore
2025-10-28,Milk,108,27,0,Bangalore
2025-10-29,Milk,103,31,0,Bangalore
2025-10-30,Milk,103,27,0,Bangalore
2025-10-31,Milk,104,28,0,Bangalore
2025-11-01,Milk,114,31,0,Bangalore
2025-11-02,Milk,122,30,1,Bangalore
2025-11-03,Milk,103,30,0,Bangalore
2025-11-04,Milk,104,25,0,Bangalore
2025-11-05,Milk,108,30,0,Bangalore
2025-11-06,Milk,108,28,0,Bangalore
2025-11-07,Milk,115,24,1,Bangalore
2025-11-08,Milk,112,25,0,Bangalore
2025-11-09,Milk,112,24,0,Bangalore
2025-11-10,Milk,102,27,0,Bangalore
2025-11-11,Milk,105,28,0,Bangalore
2025-11-12,Milk,116,30,1,Bangalore
2025-11-13,Milk,105,31,0,Bangalore
2025-11-14,Milk,106,26,0,Bangalore
2025-11-15,Milk,121,29,1,Bangalore
2025-11-16,Milk,116,26,0,Bangalore
2025-11-17,Milk,102,29,0,Bangalore
2025-11-18,Milk,107,28,0,Bangalore
2025-11-19,Milk,105,29,0,Bangalore
2025-11-20,Milk,107,29,0,Bangalore
2025-11-21,Milk,108,29,0,Bangalore
2025-11-22,Milk,114,24,0,Bangalore
2025-11-23,Milk,115,30,0,Bangalore
2025-11-24,Milk,103,31,0,Bangalore
2025-11-25,Milk,113,27,1,Bangalore
2025-11-26,Milk,110,30,1,Bangalore
2025-11-27,Milk,104,29,0,Bangalore
2025-11-28,Milk,116,29,1,Bangalore
2025-11-29,Milk,114,26,0,Bangalore
2025-11-30,Milk,125,28,1,Bangalore
2025-12-01,Milk,94,25,0,Bangalore
2025-12-02,Milk,92,27,0,Bangalore
2025-12-03,Milk,93,27,0,Bangalore
2025-12-04,Milk,96,29,0,Bangalore
2025-12-05,Milk,95,29,0,Bangalore
2025-12-06,Milk,102,28,0,Bangalore
2025-12-07,Milk,103,29,0,Bangalore
2025-12-08,Milk,95,28,0,Bangalore
2025-12-09,Milk,93,25,0,Bangalore
2025-12-10,Milk,96,27,0,Bangalore
2025-12-11,Milk,102,24,1,Bangalore
2025-12-12,Milk,98,30,0,Bangalore
2025-12-13,Milk,102,26,0,Bangalore
2025-12-14,Milk,113,28,1,Bangalore
2025-12-15,Milk,94,25,0,Bangalore
2025-12-16,Milk,94,24,0,Bangalore
2025-12-17,Milk,105,26,1,Bangalore
2025-12-18,Milk,102,27,1,Bangalore
2025-12-19,Milk,103,24,1,Bangalore
2025-12-20,Milk,114,29,1,Bangalore
2025-12-21,Milk,107,28,0,Bangalore
2025-12-22,Milk,100,25,1,Bangalore
2025-12-23,Milk,93,28,0,Bangalore
2025-12-24,Milk,97,31,0,Bangalore
2025-12-25,Milk,97,31,0,Bangalore
2025-12-26,Milk,106,24,1,Bangalore
2025-12-27,Milk,102,24,0,Bangalore
2025-12-28,Milk,107,30,0,Bangalore
2025-12-29,Milk,102,28,1,Bangalore
2025-12-30,Milk,97,30,0,Bangalore
2025-12-31,Milk,93,26,0,Bangalore
2026-01-01,Milk,98,31,0,Bangalore
2026-01-02,Milk,97,28,0,Bangalore
2026-01-03,Milk,106,30,0,Bangalore
2026-01-04,Milk,114,29,1,Bangalore
2026-01-05,Milk,100,28,1,Bangalore
2026-01-06,Milk,93,29,0,Bangalore
2026-01-07,Milk,93,25,0,Bangalore
2026-01-08,Milk,96,24,0,Bangalore
2026-01-09,Milk,96,30,0,Bangalore
2026-01-10,Milk,108,31,0,Bangalore
2026-01-11,Milk,106,28,0,Bangalore
2026-01-12,Milk,96,30,0,Bangalore
2026-01-13,Milk,94,25,0,Bangalore
2026-01-14,Milk,93,26,0,Bangalore
2026-01-15,Milk,95,26,0,Bangalore
2026-01-16,Milk,105,26,1,Bangalore
2026-01-17,Milk,108,29,0,Bangalore
2026-01-18,Milk,113,25,1,Bangalore
2026-01-19,Milk,97,25,0,Bangalore
2026-01-20,Milk,98,25,0,Bangalore
2026-01-21,Milk,103,31,1,Bangalore
2026-01-22,Milk,95,27,0,Bangalore
2026-01-23,Milk,106,28,1,Bangalore
2026-01-24,Milk,116,25,1,Bangalore
2026-01-25,Milk,104,25,0,Bangalore
2026-01-26,Milk,92,28,0,Bangalore
2026-01-27,Milk,100,29,1,Bangalore
2026-01-28,Milk,93,29,0,Bangalore
2026-01-29,Milk,98,29,0,Bangalore
2026-01-30,Milk,97,24,0,Bangalore
2026-01-31,Milk,108,30,0,Bangalore
2026-02-01,Milk,106,28,0,Bangalore
2026-02-02,Milk,92,24,0,Bangalore
2026-02-03,Milk,94,28,0,Bangalore
2026-02-04,Milk,93,30,0,Bangalore
2026-02-05,Milk,106,26,1,Bangalore
2026-02-06,Milk,94,25,0,Bangalore
2026-02-07,Milk,104,24,0,Bangalore
2026-02-08,Milk,115,27,1,Bangalore
2026-02-09,Milk,95,31,0,Bangalore
2026-02-10,Milk,92,29,0,Bangalore
2026-02-11,Milk,102,24,1,Bangalore
2026-02-12,Milk,93,29,0,Bangalore
2026-02-13,Milk,92,28,0,Bangalore
2026-02-14,Milk,105,27,0,Bangalore
2026-02-15,Milk,116,29,1,Bangalore
2026-02-16,Milk,98,28,0,Bangalore
2026-02-17,Milk,97,24,0,Bangalore
2026-02-18,Milk,94,30,0,Bangalore
2026-02-19,Milk,96,29,0,Bangalore
2026-02-20,Milk,97,24,0,Bangalore
2026-02-21,Milk,103,31,0,Bangalore
2026-02-22,Milk,116,24,1,Bangalore
2026-02-23,Milk,95,25,0,Bangalore
2026-02-24,Milk,97,24,0,Bangalore
2026-02-25,Milk,92,26,0,Bangalore
2026-02-26,Milk,106,31,1,Bangalore
2026-02-27,Milk,93,26,0,Bangalore
2026-02-28,Milk,105,26,0,Bangalore
2026-03-01,Milk,130,24,0,Bangalore
2026-03-02,Milk,129,31,1,Bangalore
2026-03-03,Milk,123,31,0,Bangalore
2026-03-04,Milk,119,26,0,Bangalore
2026-03-05,Milk,122,30,0,Bangalore
2026-03-06,Milk,127,24,1,Bangalore
2026-03-07,Milk,133,26,0,Bangalore
2026-03-08,Milk,132,31,0,Bangalore
2026-03-09,Milk,127,31,1,Bangalore
2026-03-10,Milk,121,31,0,Bangalore
2026-03-11,Milk,123,29,0,Bangalore
2026-03-12,Milk,131,30,1,Bangalore
2026-03-13,Milk,123,25,0,Bangalore
2026-03-14,Milk,131,28,0,Bangalore
2026-03-15,Milk,130,26,0,Bangalore
2026-03-16,Milk,131,25,1,Bangalore
2026-03-17,Milk,118,28,0,Bangalore
2026-03-18,Milk,123,30,0,Bangalore
2026-03-19,Milk,121,30,0,Bangalore
2026-03-20,Milk,122,28,0,Bangalore
2026-03-21,Milk,130,24,0,Bangalore
2026-03-22,Milk,140,26,1,Bangalore
2026-03-23,Milk,118,27,0,Bangalore
2026-03-24,Milk,122,29,0,Bangalore
2026-03-25,Milk,125,30,1,Bangalore
2026-03-26,Milk,122,25,0,Bangalore
2026-03-27,Milk,121,24,0,Bangalore
2026-03-28,Milk,132,24,0,Bangalore
2026-03-29,Milk,138,29,1,Bangalore
2026-03-30,Milk,121,25,0,Bangalore
2026-03-31,Milk,119,25,0,Bangalore
2025-01-01,Curd,89,29,1,Bangalore
2025-01-02,Curd,82,25,0,Bangalore
2025-01-03,Curd,77,25,0,Bangalore
2025-01-04,Curd,101,29,1,Bangalore
2025-01-05,Curd,91,28,0,Bangalore
2025-01-06,Curd,90,26,1,Bangalore
2025-01-07,Curd,80,26,0,Bangalore
2025-01-08,Curd,83,28,0,Bangalore
2025-01-09,Curd,86,25,1,Bangalore
2025-01-10,Curd,78,28,0,Bangalore
2025-01-11,Curd,90,29,0,Bangalore
2025-01-12,Curd,97,29,1,Bangalore
2025-01-13,Curd,78,28,0,Bangalore
2025-01-14,Curd,79,28,0,Bangalore
2025-01-15,Curd,87,31,1,Bangalore
2025-01-16,Curd,82,30,0,Bangalore
2025-01-17,Curd,82,25,0,Bangalore
2025-01-18,Curd,95,29,1,Bangalore
2025-01-19,Curd,90,25,0,Bangalore
2025-01-20,Curd,79,26,0,Bangalore
2025-01-21,Curd,81,24,0,Bangalore
2025-01-22,Curd,78,26,0,Bangalore
2025-01-23,Curd,77,25,0,Bangalore
2025-01-24,Curd,85,31,1,Bangalore
2025-01-25,Curd,88,28,0,Bangalore
2025-01-26,Curd,89,24,0,Bangalore
2025-01-27,Curd,88,25,1,Bangalore
2025-01-28,Curd,78,26,0,Bangalore
2025-01-29,Curd,80,27,0,Bangalore
2025-01-30,Curd,89,26,1,Bangalore
2025-01-31,Curd,91,24,1,Bangalore
2025-02-01,Curd,92,24,0,Bangalore
2025-02-02,Curd,101,31,1,Bangalore
2025-02-03,Curd,89,28,1,Bangalore
2025-02-04,Curd,77,29,0,Bangalore
2025-02-05,Curd,83,25,0,Bangalore
2025-02-06,Curd,89,26,1,Bangalore
2025-02-07,Curd,78,25,0,Bangalore
2025-02-08,Curd,101,31,1,Bangalore
2025-02-09,Curd,88,25,0,Bangalore
2025-02-10,Curd,81,30,0,Bangalore
2025-02-11,Curd,78,30,0,Bangalore
2025-02-12,Curd,86,26,1,Bangalore
2025-02-13,Curd,91,30,1,Bangalore
2025-02-14,Curd,78,26,0,Bangalore
2025-02-15,Curd,93,30,0,Bangalore
2025-02-16,Curd,90,31,0,Bangalore
2025-02-17,Curd,81,28,0,Bangalore
2025-02-18,Curd,83,26,0,Bangalore
2025-02-19,Curd,83,30,0,Bangalore
2025-02-20,Curd,81,31,0,Bangalore
2025-02-21,Curd,78,29,0,Bangalore
2025-02-22,Curd,96,24,1,Bangalore
2025-02-23,Curd,93,27,0,Bangalore
2025-02-24,Curd,90,26,1,Bangalore
2025-02-25,Curd,89,26,1,Bangalore
2025-02-26,Curd,87,25,1,Bangalore
2025-02-27,Curd,88,26,1,Bangalore
2025-02-28,Curd,89,28,1,Bangalore
2025-03-01,Curd,112,29,0,Bangalore
2025-03-02,Curd,126,31,1,Bangalore
2025-03-03,Curd,110,24,1,Bangalore
2025-03-04,Curd,106,30,0,Bangalore
2025-03-05,Curd,104,24,0,Bangalore
2025-03-06,Curd,107,28,0,Bangalore
2025-03-07,Curd,107,25,0,Bangalore
2025-03-08,Curd,112,28,0,Bangalore
2025-03-09,Curd,120,28,1,Bangalore
2025-03-10,Curd,105,30,0,Bangalore
2025-03-11,Curd,114,27,1,Bangalore
2025-03-12,Curd,105,28,0,Bangalore
2025-03-13,Curd,116,29,1,Bangalore
2025-03-14,Curd,107,29,0,Bangalore
2025-03-15,Curd,126,28,1,Bangalore
2025-03-16,Curd,115,27,0,Bangalore
2025-03-17,Curd,106,28,0,Bangalore
2025-03-18,Curd,103,26,0,Bangalore
2025-03-19,Curd,103,26,0,Bangalore
2025-03-20,Curd,104,24,0,Bangalore
2025-03-21,Curd,106,31,0,Bangalore
2025-03-22,Curd,120,29,1,Bangalore
2025-03-23,Curd,121,24,1,Bangalore
2025-03-24,Curd,103,24,0,Bangalore
2025-03-25,Curd,115,26,1,Bangalore
2025-03-26,Curd,104,24,0,Bangalore
2025-03-27,Curd,106,29,0,Bangalore
2025-03-28,Curd,105,30,0,Bangalore
2025-03-29,Curd,122,29,1,Bangalore
2025-03-30,Curd,114,24,0,Bangalore
2025-03-31,Curd,104,27,0,Bangalore
2025-04-01,Curd,111,24,1,Bangalore
2025-04-02,Curd,102,24,0,Bangalore
2025-04-03,Curd,111,28,1,Bangalore
2025-04-04,Curd,107,31,0,Bangalore
2025-04-05,Curd,113,31,0,Bangalore
2025-04-06,Curd,115,25,0,Bangalore
2025-04-07,Curd,106,31,0,Bangalore
2025-04-08,Curd,114,28,1,Bangalore
2025-04-09,Curd,104,31,0,Bangalore
2025-04-10,Curd,103,25,0,Bangalore
2025-04-11,Curd,106,31,0,Bangalore
2025-04-12,Curd,122,24,1,Bangalore
2025-04-13,Curd,112,31,0,Bangalore
2025-04-14,Curd,110,26,1,Bangalore
2025-04-15,Curd,110,28,1,Bangalore
2025-04-16,Curd,108,28,0,Bangalore
2025-04-17,Curd,116,26,1,Bangalore
2025-04-18,Curd,111,28,1,Bangalore
2025-04-19,Curd,118,24,0,Bangalore
2025-04-20,Curd,114,25,0,Bangalore
2025-04-21,Curd,116,28,1,Bangalore
2025-04-22,Curd,115,25,1,Bangalore
2025-04-23,Curd,108,28,0,Bangalore
2025-04-24,Curd,107,25,0,Bangalore
2025-04-25,Curd,110,26,1,Bangalore
2025-04-26,Curd,115,31,0,Bangalore
2025-04-27,Curd,114,31,0,Bangalore
2025-04-28,Curd,107,31,0,Bangalore
2025-04-29,Curd,103,30,0,Bangalore
2025-04-30,Curd,108,30,0,Bangalore
2025-05-01,Curd,115,29,1,Bangalore
2025-05-02,Curd,105,27,0,Bangalore
2025-05-03,Curd,120,25,1,Bangalore
2025-05-04,Curd,113,27,0,Bangalore
2025-05-05,Curd,103,29,0,Bangalore
2025-05-06,Curd,103,31,0,Bangalore
2025-05-07,Curd,114,29,1,Bangalore
2025-05-08,Curd,112,27,1,Bangalore
2025-05-09,Curd,116,27,1,Bangalore
2025-05-10,Curd,117,28,0,Bangalore
2025-05-11,Curd,114,30,0,Bangalore
2025-05-12,Curd,103,26,0,Bangalore
2025-05-13,Curd,106,25,0,Bangalore
2025-05-14,Curd,106,27,0,Bangalore
2025-05-15,Curd,108,24,0,Bangalore
2025-05-16,Curd,105,28,0,Bangalore
2025-05-17,Curd,117,31,0,Bangalore
2025-05-18,Curd,114,27,0,Bangalore
2025-05-19,Curd,113,26,1,Bangalore
2025-05-20,Curd,106,31,0,Bangalore
2025-05-21,Curd,104,30,0,Bangalore
2025-05-22,Curd,102,27,0,Bangalore
2025-05-23,Curd,110,28,1,Bangalore
2025-05-24,Curd,126,25,1,Bangalore
2025-05-25,Curd,112,25,0,Bangalore
2025-05-26,Curd,111,24,1,Bangalore
2025-05-27,Curd,104,30,0,Bangalore
2025-05-28,Curd,102,31,0,Bangalore
2025-05-29,Curd,108,24,0,Bangalore
2025-05-30,Curd,113,26,1,Bangalore
2025-05-31,Curd,115,30,0,Bangalore
